ボルテックス番号, 座標, 合力, VVI作用, 対象VVI, VVI反作用, ピニング力, ローレンツ力, 熱ゆらぎ, 現在速度
4 , 19.475684, -1.823333, 0.000000,0.000000,0.013668,0.000000,-1.965000,0.128004, -1.823333
5 , 3.006433, -0.183017, -0.024170,8.000000,0.000000,1.999840,-1.965000,-0.193687, -0.183017
6 , 6.714099, -1.970484, -0.000205,7.000000,0.024511,0.000000,-1.965000,-0.029814, -1.970484
7 , 15.208908, 0.056949, -0.013838,8.000000,0.000205,1.999977,-1.965000,0.035606, 0.056949
8 , 19.489226, -1.973366, 0.000000,0.000000,0.013478,0.000000,-1.965000,-0.021839, -1.973366
9 , 3.009448, -0.068257, -0.019118,12.000000,0.000000,1.999976,-1.965000,-0.084114, -0.068257
10 , 6.954103, -2.111768, -0.000260,11.000000,0.019370,0.000000,-1.965000,-0.165865, -2.111768
11 , 15.208247, 0.350753, -0.020964,12.000000,0.000260,1.999965,-1.965000,0.336491, 0.350753
12 , 19.073208, -1.794083, 0.000000,0.000000,0.020725,0.000000,-1.965000,0.150193, -1.794083
1 , 3.008632, 0.419304, -0.021628,4.000000,0.000000,1.999972,-1.965000,0.405961, 0.419304
2 , 6.828856, -1.915823, -0.000229,3.000000,0.021924,0.000000,-1.965000,0.027484, -1.915823
3 , 15.208573, 0.033355, -0.017075,4.000000,0.000229,1.999968,-1.965000,0.015233, 0.033355
4 , 19.278721, -1.783598, 0.000000,0.000000,0.016789,0.000000,-1.965000,0.164622, -1.783598
5 , 3.005236, -0.113129, -0.029508,8.000000,0.000000,1.999732,-1.965000,-0.118354, -0.113129
6 , 6.518252, -1.969586, -0.000168,7.000000,0.029785,0.000000,-1.965000,-0.034225, -1.969586
7 , 15.208686, -0.020381, -0.016864,8.000000,0.000168,1.999981,-1.965000,-0.038666, -0.020381
8 , 19.291272, -1.770363, 0.000000,0.000000,0.016577,0.000000,-1.965000,0.178072, -1.770363
9 , 3.009102, -0.120859, -0.023270,12.000000,0.000000,1.999974,-1.965000,-0.132563, -0.120859
10 , 6.761227, -1.769542, -0.000214,11.000000,0.023493,0.000000,-1.965000,0.172205, -1.769542
11 , 15.208643, 0.014419, -0.025442,12.000000,0.000214,1.999977,-1.965000,0.004671, 0.014419
12 , 18.879979, -1.993917, 0.000000,0.000000,0.025256,0.000000,-1.965000,-0.054162, -1.993917
1 , 3.008547, -0.083304, -0.026329,4.000000,0.000000,1.999974,-1.965000,-0.091950, -0.083304
2 , 6.636462, -2.009414, -0.000189,3.000000,0.026570,0.000000,-1.965000,-0.070796, -2.009414
3 , 15.208917, -0.475080, -0.020713,4.000000,0.000189,1.999978,-1.965000,-0.489534, -0.475080
4 , 19.085913, -2.011890, 0.000000,0.000000,0.020456,0.000000,-1.965000,-0.067360, -2.011890
5 , 3.004204, 0.052641, -0.035815,8.000000,0.000000,1.999604,-1.965000,0.053852, 0.052641
6 , 6.326724, -2.172503, -0.000139,7.000000,0.036033,0.000000,-1.965000,-0.243426, -2.172503
7 , 15.208842, -0.193185, -0.020476,8.000000,0.000139,1.999984,-1.965000,-0.207832, -0.193185
8 , 19.097357, -1.993214, 0.000000,0.000000,0.020248,0.000000,-1.965000,-0.048443, -1.993214
9 , 3.008391, 0.220913, -0.028368,12.000000,0.000000,1.999971,-1.965000,0.214310, 0.220913
10 , 6.565153, -1.819832, -0.000176,11.000000,0.028569,0.000000,-1.965000,0.116813, -1.819832
11 , 15.208820, 0.086932, -0.030832,12.000000,0.000176,1.999963,-1.965000,0.082625, 0.086932
12 , 18.688029, -2.028711, 0.000000,0.000000,0.030654,0.000000,-1.965000,-0.094380, -2.028711
1 , 3.005622, -0.131316, -0.031915,4.000000,0.000000,1.999787,-1.965000,-0.134187, -0.131316
2 , 6.444020, -2.123384, -0.000156,3.000000,0.032106,0.000000,-1.965000,-0.190344, -2.123384
3 , 15.208702, -0.105911, -0.025158,4.000000,0.000156,1.999968,-1.965000,-0.115878, -0.105911
4 , 18.891288, -2.231314, 0.000000,0.000000,0.024940,0.000000,-1.965000,-0.291271, -2.231314
5 , 3.005579, -0.271776, -0.040421,8.000000,0.000000,1.999782,-1.965000,-0.266138, -0.271776
6 , 6.208963, 0.020546, -0.000123,7.000000,0.040620,1.999988,-1.965000,-0.054943, 0.020546
7 , 15.208369, 0.220607, -0.024811,8.000000,0.000123,1.999970,-1.965000,0.210325, 0.220607
8 , 18.904832, -2.225123, 0.000000,0.000000,0.024631,0.000000,-1.965000,-0.284731, -2.225123
9 , 3.008755, 0.230657, -0.034427,12.000000,0.000000,1.999981,-1.965000,0.230103, 0.230657
10 , 6.373786, -1.655230, -0.000146,11.000000,0.034648,0.000000,-1.965000,0.275356, -1.655230
11 , 15.206128, 0.032002, -0.037468,12.000000,0.000146,1.999817,-1.965000,0.034507, 0.032002
12 , 18.490385, -1.830913, 0.000000,0.000000,0.037329,0.000000,-1.965000,0.096752, -1.830913
1 , 3.003352, 0.245487, -0.038743,4.000000,0.000000,1.999508,-1.965000,0.249722, 0.245487
2 , 6.249885, -1.862468, -0.000129,3.000000,0.038861,0.000000,-1.965000,0.063752, -1.862468
3 , 15.208730, -0.013442, -0.030505,4.000000,0.000129,1.999980,-1.965000,-0.018045, -0.013442
4 , 18.698595, -2.252823, 0.000000,0.000000,0.030305,0.000000,-1.965000,-0.318162, -2.252823
5 , 3.006518, -0.002624, -0.040475,8.000000,0.000000,1.999859,-1.965000,0.002992, -0.002624
6 , 6.209452, 0.055352, -0.000123,7.000000,0.040651,1.999995,-1.965000,-0.020162, 0.055352
7 , 15.208960, 0.123418, -0.030132,8.000000,0.000123,1.999988,-1.965000,0.118439, 0.123418
8 , 18.711128, -1.745849, 0.000000,0.000000,0.030001,0.000000,-1.965000,0.189186, -1.745849
9 , 3.008435, 0.088682, -0.040587,12.000000,0.000000,1.999967,-1.965000,0.094303, 0.088682
10 , 6.209675, -0.129476, -0.000124,11.000000,0.040839,1.999963,-1.965000,-0.205026, -0.129476
11 , 15.205820, 0.050070, -0.040671,12.000000,0.000124,1.999804,-1.965000,0.055813, 0.050070
12 , 18.408063, -0.146446, 0.000000,0.000000,0.040540,1.999958,-1.965000,-0.221951, -0.146446
1 , 3.001602, -0.163282, -0.040345,4.000000,0.000000,1.999216,-1.965000,-0.157153, -0.163282
2 , 6.208493, 0.059281, -0.000123,3.000000,0.040436,1.999969,-1.965000,-0.016047, 0.059281
3 , 15.208004, -0.365411, -0.037013,4.000000,0.000124,1.999952,-1.965000,-0.363474, -0.365411
4 , 18.504493, -1.853032, 0.000000,0.000000,0.036846,0.000000,-1.965000,0.075092, -1.853032
5 , 3.007213, -0.011378, -0.040544,8.000000,0.000000,1.999911,-1.965000,-0.005745, -0.011378
6 , 6.209183, 0.334352, -0.000124,7.000000,0.040699,1.999990,-1.965000,0.258804, 0.334352
7 , 15.208084, 0.052915, -0.036542,8.000000,0.000124,1.999958,-1.965000,0.054376, 0.052915
8 , 18.517374, -2.129001, 0.000000,0.000000,0.036446,0.000000,-1.965000,-0.200405, -2.129001
9 , 3.005821, -0.061177, -0.040555,12.000000,0.000000,1.999806,-1.965000,-0.055428, -0.061177
10 , 6.207853, 0.154042, -0.000123,11.000000,0.040777,1.999923,-1.965000,0.078564, 0.154042
11 , 15.208205, -0.330616, -0.040712,12.000000,0.000123,1.999957,-1.965000,-0.324984, -0.330616
12 , 18.409437, 0.116382, 0.000000,0.000000,0.040540,1.999994,-1.965000,0.040800, 0.116382
1 , 3.000489, 0.268611, -0.040345,4.000000,0.000000,1.998992,-1.965000,0.274963, 0.268611
2 , 6.207707, 0.039221, -0.000123,3.000000,0.040440,1.999937,-1.965000,-0.036061, 0.039221
3 , 15.207141, -0.124095, -0.040698,4.000000,0.000124,1.999909,-1.965000,-0.118429, -0.124095
4 , 18.408713, -0.148106, 0.000000,0.000000,0.040568,1.999981,-1.965000,-0.223661, -0.148106
5 , 3.004960, 0.067688, -0.040491,8.000000,0.000000,1.999715,-1.965000,0.073464, 0.067688
6 , 6.208570, -0.048326, -0.000124,7.000000,0.040659,1.999969,-1.965000,-0.123786, -0.048326
7 , 15.205774, -0.172504, -0.040647,8.000000,0.000124,1.999788,-1.965000,-0.166769, -0.172504
8 , 18.408609, -0.078696, 0.000000,0.000000,0.040598,1.999971,-1.965000,-0.154189, -0.078696
9 , 3.003544, 0.073153, -0.040398,12.000000,0.000000,1.999532,-1.965000,0.079019, 0.073153
10 , 6.209455, -0.142967, -0.000124,11.000000,0.040579,1.999983,-1.965000,-0.218348, -0.142967
11 , 15.207862, -0.215991, -0.040727,12.000000,0.000124,1.999948,-1.965000,-0.210336, -0.215991
12 , 18.408713, 0.038491, 0.000000,0.000000,0.040538,1.999972,-1.965000,-0.037084, 0.038491
1 , 2.999696, -0.084336, -0.040271,4.000000,0.000000,1.998820,-1.965000,-0.077886, -0.084336
2 , 6.208740, -0.045721, -0.000124,3.000000,0.040367,1.999981,-1.965000,-0.120973, -0.045721
3 , 15.204912, 0.004358, -0.040586,4.000000,0.000124,1.999709,-1.965000,0.010111, 0.004358
4 , 18.409253, 0.145903, 0.000000,0.000000,0.040448,1.999992,-1.965000,0.070450, 0.145903
5 , 3.003113, 0.062141, -0.040407,8.000000,0.000000,1.999436,-1.965000,0.068112, 0.062141
6 , 6.208803, 0.227152, -0.000124,7.000000,0.040531,1.999980,-1.965000,0.151765, 0.227152
7 , 15.204437, 0.028826, -0.040612,8.000000,0.000124,1.999644,-1.965000,0.034669, 0.028826
8 , 18.408128, 0.077154, 0.000000,0.000000,0.040542,1.999958,-1.965000,0.001708, 0.077154
9 , 3.002603, 0.052735, -0.040366,12.000000,0.000000,1.999385,-1.965000,0.058715, 0.052735
10 , 6.209299, 0.117403, -0.000123,11.000000,0.040542,1.999981,-1.965000,0.042055, 0.117403
11 , 15.209068, 0.102831, -0.040755,12.000000,0.000123,1.999979,-1.965000,0.108483, 0.102831
12 , 18.409242, 0.207770, 0.000000,0.000000,0.040586,1.999981,-1.965000,0.132157, 0.207770
1 , 2.997641, -0.089059, -0.040163,4.000000,0.000000,1.998298,-1.965000,-0.082194, -0.089059
2 , 6.209336, -0.059206, -0.000124,3.000000,0.040217,1.999986,-1.965000,-0.134357, -0.059206
3 , 15.205313, -0.113602, -0.040619,4.000000,0.000124,1.999723,-1.965000,-0.107830, -0.113602
4 , 18.408842, -0.132986, 0.000000,0.000000,0.040450,1.999985,-1.965000,-0.208465, -0.132986
5 , 3.003568, 0.255536, -0.040398,8.000000,0.000000,1.999540,-1.965000,0.261393, 0.255536
6 , 6.209482, 0.120513, -0.000124,7.000000,0.040539,1.999996,-1.965000,0.045119, 0.120513
7 , 15.205953, -0.046382, -0.040649,8.000000,0.000124,1.999812,-1.965000,-0.040669, -0.046382
8 , 18.408739, -0.234375, 0.000000,0.000000,0.040586,1.999976,-1.965000,-0.309875, -0.234375
9 , 3.002756, -0.230211, -0.040417,12.000000,0.000000,1.999415,-1.965000,-0.224209, -0.230211
10 , 6.208188, -0.191628, -0.000124,11.000000,0.040605,1.999955,-1.965000,-0.267001, -0.191628
11 , 15.207318, -0.227437, -0.040693,12.000000,0.000123,1.999899,-1.965000,-0.221766, -0.227437
12 , 18.409004, 0.083702, 0.000000,0.000000,0.040509,1.999966,-1.965000,0.008167, 0.083702
1 , 2.995327, -0.008887, -0.040106,4.000000,0.000000,1.997610,-1.965000,-0.001391, -0.008887
2 , 6.208435, -0.031944, -0.000124,3.000000,0.040193,1.999969,-1.965000,-0.107020, -0.031944
3 , 15.205114, 0.019572, -0.040564,4.000000,0.000124,1.999730,-1.965000,0.025282, 0.019572
4 , 18.409987, 0.078144, 0.000000,0.000000,0.040416,2.000000,-1.965000,0.002705, 0.078144
5 , 3.003280, 0.177688, -0.040480,8.000000,0.000000,1.999498,-1.965000,0.183670, 0.177688
6 , 6.207159, 0.217181, -0.000124,7.000000,0.040612,1.999910,-1.965000,0.141790, 0.217181
7 , 15.204144, -0.125163, -0.040548,8.000000,0.000124,1.999611,-1.965000,-0.119350, -0.125163
8 , 18.409419, 0.323858, 0.000000,0.000000,0.040476,1.999993,-1.965000,0.248442, 0.323858
9 , 3.002970, -0.078353, -0.040440,12.000000,0.000000,1.999451,-1.965000,-0.072364, -0.078353
10 , 6.207829, 0.109897, -0.000124,11.000000,0.040612,1.999941,-1.965000,0.034515, 0.109897
11 , 15.207072, 0.041595, -0.040723,12.000000,0.000123,1.999904,-1.965000,0.047291, 0.041595
12 , 18.408017, -0.074084, 0.000000,0.000000,0.040503,1.999926,-1.965000,-0.149610, -0.074084
1 , 2.995636, -0.121441, -0.040100,4.000000,0.000000,1.997709,-1.965000,-0.114050, -0.121441
2 , 6.208900, 0.128605, -0.000124,3.000000,0.040206,1.999985,-1.965000,0.053518, 0.128605
3 , 15.206491, 0.294812, -0.040635,4.000000,0.000124,1.999863,-1.965000,0.300461, 0.294812
4 , 18.409625, 0.100565, 0.000000,0.000000,0.040499,1.999998,-1.965000,0.025058, 0.100565
5 , 3.001140, -0.017288, -0.040274,8.000000,0.000000,1.999124,-1.965000,-0.011137, -0.017288
6 , 6.210094, -2.040850, -0.000124,7.000000,0.040388,0.000000,-1.965000,-0.116124, -2.040850
7 , 15.201521, 0.177131, -0.040449,8.000000,0.000124,1.999191,-1.965000,0.183264, 0.177131
8 , 18.409238, 0.051988, 0.000000,0.000000,0.040357,1.999993,-1.965000,-0.023330, 0.051988
9 , 3.001857, -0.234693, -0.040346,12.000000,0.000000,1.999262,-1.965000,-0.228610, -0.234693
10 , 6.209050, 0.020205, -0.000124,11.000000,0.040531,1.999982,-1.965000,-0.055123, 0.020205
11 , 15.207771, 0.378228, -0.040716,12.000000,0.000123,1.999927,-1.965000,0.383893, 0.378228
12 , 18.408908, 0.138597, 0.000000,0.000000,0.040532,1.999966,-1.965000,0.063040, 0.138597
1 , 2.992817, -0.056823, -0.040019,4.000000,0.000000,1.996721,-1.965000,-0.048526, -0.056823
2 , 6.208087, -0.003721, -0.000123,3.000000,0.040172,1.999958,-1.965000,-0.078700, -0.003721
3 , 15.208696, 0.123208, -0.040715,4.000000,0.000123,1.999981,-1.965000,0.128819, 0.123208
4 , 18.409864, -0.119641, 0.000000,0.000000,0.040569,1.999999,-1.965000,-0.195229, -0.119641
5 , 3.001155, -0.162389, -0.040347,8.000000,0.000000,1.999128,-1.965000,-0.156170, -0.162389
6 , 6.208322, 0.077066, -0.000124,7.000000,0.040455,1.999967,-1.965000,0.001753, 0.077066
7 , 15.202013, 0.104097, -0.040503,8.000000,0.000124,1.999285,-1.965000,0.110191, 0.104097
8 , 18.408393, -0.020334, 0.000000,0.000000,0.040387,1.999971,-1.965000,-0.095683, -0.020334
9 , 3.001070, -0.024478, -0.040321,12.000000,0.000000,1.999109,-1.965000,-0.018266, -0.024478
10 , 6.208870, 0.004323, -0.000124,11.000000,0.040497,1.999982,-1.965000,-0.070981, 0.004323
11 , 15.207900, 0.137966, -0.040673,12.000000,0.000123,1.999903,-1.965000,0.143612, 0.137966
12 , 18.410093, -1.840167, 0.000000,0.000000,0.040508,0.000000,-1.965000,0.084285, -1.840167
1 , 2.995939, 0.092952, -0.040100,4.000000,0.000000,1.997803,-1.965000,0.100249, 0.092952
2 , 6.209207, 0.063468, -0.000124,3.000000,0.040229,1.999993,-1.965000,-0.011626, 0.063468
3 , 15.207095, 0.256672, -0.040702,4.000000,0.000124,1.999906,-1.965000,0.262344, 0.256672
4 , 18.408578, -0.242895, 0.000000,0.000000,0.040578,1.999978,-1.965000,-0.318450, -0.242895
5 , 3.004799, -0.102094, -0.040503,8.000000,0.000000,1.999681,-1.965000,-0.096272, -0.102094
6 , 6.208114, 0.073825, -0.000124,7.000000,0.040641,1.999960,-1.965000,-0.001638, 0.073825
7 , 15.201492, -0.092748, -0.040450,8.000000,0.000124,1.999194,-1.965000,-0.086617, -0.092748
8 , 18.409178, -0.217236, 0.000000,0.000000,0.040348,1.999992,-1.965000,-0.292555, -0.217236
9 , 3.001210, -0.061301, -0.040283,12.000000,0.000000,1.999141,-1.965000,-0.055159, -0.061301
10 , 6.209954, 0.059040, -0.000124,11.000000,0.040449,1.999996,-1.965000,-0.016241, 0.059040
11 , 15.207735, 0.166583, -0.040741,12.000000,0.000124,1.999927,-1.965000,0.172273, 0.166583
12 , 18.408256, 0.154740, 0.000000,0.000000,0.040563,1.999949,-1.965000,0.079175, 0.154740
1 , 2.992999, -0.049671, -0.040020,4.000000,0.000000,1.996774,-1.965000,-0.041425, -0.049671
2 , 6.208245, -0.012491, -0.000124,3.000000,0.040140,1.999963,-1.965000,-0.087476, -0.012491
3 , 15.206624, 0.073938, -0.040677,4.000000,0.000124,1.999848,-1.965000,0.079643, 0.073938
4 , 18.408719, 0.020993, 0.000000,0.000000,0.040601,1.999981,-1.965000,-0.054540, 0.020993
5 , 3.004209, -0.239329, -0.040417,8.000000,0.000000,1.999627,-1.965000,-0.233539, -0.239329
