ボルテックス番号, 座標, 合力, VVI作用, 対象VVI, VVI反作用, ピニング力, ローレンツ力, 熱ゆらぎ, 現在速度
1 , 3.558406, 2.106118, -0.012867,4.000000,0.000000,0.000000,1.965000,0.153985, 2.106118
2 , 7.883006, 1.729975, -0.000377,3.000000,0.013239,0.000000,1.965000,-0.247887, 1.729975
3 , 15.766738, 1.918921, -0.013645,4.000000,0.000377,0.000000,1.965000,-0.032811, 1.918921
4 , 20.061147, 1.811979, 0.000000,0.000000,0.013273,0.000000,1.965000,-0.166294, 1.811979
5 , 3.517672, 1.915050, -0.016581,8.000000,0.000000,0.000000,1.965000,-0.033369, 1.915050
6 , 7.601449, 1.647489, -0.000284,7.000000,0.016844,0.000000,1.965000,-0.334071, 1.647489
7 , 15.768203, 1.895351, -0.020152,8.000000,0.000284,0.000000,1.965000,-0.049780, 1.895351
8 , 19.672631, 1.818339, 0.000000,0.000000,0.019890,0.000000,1.965000,-0.166551, 1.818339
9 , 3.427451, 1.863307, -0.014200,12.000000,0.000000,0.000000,1.965000,-0.087493, 1.863307
10 , 7.657962, 2.120218, -0.000297,11.000000,0.014545,0.000000,1.965000,0.140970, 2.120218
11 , 15.781127, 1.971154, -0.016998,12.000000,0.000297,0.000000,1.965000,0.022855, 1.971154
12 , 19.855811, 2.315802, 0.000000,0.000000,0.016652,0.000000,1.965000,0.334149, 2.315802
1 , 3.364869, -2.074701, -0.012896,4.000000,0.000000,0.000000,-1.965000,-0.096805, -2.074701
2 , 7.687326, -2.062193, -0.000378,3.000000,0.013273,0.000000,-1.965000,-0.110083, -2.062193
3 , 15.569105, -2.116548, -0.013598,4.000000,0.000377,0.000000,-1.965000,-0.138327, -2.116548
4 , 19.866918, -2.168467, 0.000000,0.000000,0.013230,0.000000,-1.965000,-0.216694, -2.168467
5 , 3.321209, -2.101298, -0.016527,8.000000,0.000000,0.000000,-1.965000,-0.119771, -2.101298
6 , 7.408142, -1.889345, -0.000285,7.000000,0.016790,0.000000,-1.965000,0.059149, -1.889345
7 , 15.571064, -1.883296, -0.020067,8.000000,0.000285,0.000000,-1.965000,0.101487, -1.883296
8 , 19.479719, -1.960920, 0.000000,0.000000,0.019815,0.000000,-1.965000,-0.015724, -1.960920
9 , 3.232972, -1.946401, -0.014179,12.000000,0.000000,0.000000,-1.965000,0.032778, -1.946401
10 , 7.464832, -2.089988, -0.000298,11.000000,0.014518,0.000000,-1.965000,-0.139216, -2.089988
11 , 15.584882, -1.967562, -0.016897,12.000000,0.000298,0.000000,-1.965000,0.014038, -1.967562
12 , 19.665490, -2.059390, 0.000000,0.000000,0.016543,0.000000,-1.965000,-0.110941, -2.059390
1 , 3.167987, -1.841252, -0.012866,4.000000,0.000000,0.000000,-1.965000,0.136614, -1.841252
2 , 7.492607, -2.058710, -0.000379,3.000000,0.013253,0.000000,-1.965000,-0.106570, -2.058710
3 , 15.370708, -1.882686, -0.013556,4.000000,0.000379,0.000000,-1.965000,0.095491, -1.882686
4 , 19.671639, -1.972342, 0.000000,0.000000,0.013191,0.000000,-1.965000,-0.020525, -1.972342
5 , 3.121633, -2.012307, -0.016511,8.000000,0.000000,0.000000,-1.965000,-0.030796, -2.012307
6 , 7.209409, -2.173787, -0.000284,7.000000,0.016772,0.000000,-1.965000,-0.225280, -2.173787
7 , 15.375244, -1.920475, -0.020000,8.000000,0.000284,0.000000,-1.965000,0.064240, -1.920475
8 , 19.287271, -1.711170, 0.000000,0.000000,0.019747,0.000000,-1.965000,0.234096, -1.711170
9 , 3.037122, -2.124278, -0.014133,12.000000,0.000000,0.000000,-1.965000,-0.145145, -2.124278
10 , 7.272085, -1.852088, -0.000299,11.000000,0.014479,0.000000,-1.965000,0.098731, -1.852088
11 , 15.387254, -1.846562, -0.016839,12.000000,0.000299,0.000000,-1.965000,0.134979, -1.846562
12 , 19.471290, -1.720835, 0.000000,0.000000,0.016487,0.000000,-1.965000,0.227673, -1.720835
1 , 3.008496, 0.026556, -0.013371,4.000000,0.000000,1.999972,-1.965000,0.004955, 0.026556
2 , 7.296621, -2.094839, -0.000366,3.000000,0.013741,0.000000,-1.965000,-0.143203, -2.094839
3 , 15.208178, 0.182967, -0.013992,4.000000,0.000366,1.999962,-1.965000,0.161630, 0.182967
4 , 19.477467, -1.693699, 0.000000,0.000000,0.013620,0.000000,-1.965000,0.257669, -1.693699
5 , 3.007476, 0.051098, -0.017985,8.000000,0.000000,1.999910,-1.965000,0.034172, 0.051098
6 , 7.012157, -2.211049, -0.000276,7.000000,0.018216,0.000000,-1.965000,-0.264003, -2.211049
7 , 15.208275, -0.400608, -0.020508,8.000000,0.000276,1.999966,-1.965000,-0.415342, -0.400608
8 , 19.095218, -1.807583, 0.000000,0.000000,0.020277,0.000000,-1.965000,0.137155, -1.807583
9 , 3.007921, -0.263039, -0.016804,12.000000,0.000000,1.999952,-1.965000,-0.281186, -0.263039
10 , 7.076705, -1.785190, -0.000294,11.000000,0.017099,0.000000,-1.965000,0.163006, -1.785190
11 , 15.209216, 0.071964, -0.017141,12.000000,0.000294,1.999960,-1.965000,0.053852, 0.071964
12 , 19.275480, -1.974474, 0.000000,0.000000,0.016847,0.000000,-1.965000,-0.026322, -1.974474
1 , 3.008955, -0.173997, -0.016412,4.000000,0.000000,1.999976,-1.965000,-0.192561, -0.173997
2 , 7.100833, -2.051531, -0.000301,3.000000,0.016718,0.000000,-1.965000,-0.102937, -2.051531
3 , 15.208518, -0.019798, -0.017005,4.000000,0.000301,1.999975,-1.965000,-0.038069, -0.019798
4 , 19.282768, -1.927236, 0.000000,0.000000,0.016693,0.000000,-1.965000,0.021055, -1.927236
5 , 3.008014, -0.005691, -0.021949,8.000000,0.000000,1.999952,-1.965000,-0.018695, -0.005691
6 , 6.817923, -1.978655, -0.000227,7.000000,0.022140,0.000000,-1.965000,-0.035578, -1.978655
7 , 15.208167, -0.083076, -0.024961,8.000000,0.000227,1.999961,-1.965000,-0.093303, -0.083076
8 , 18.898601, -2.022715, 0.000000,0.000000,0.024775,0.000000,-1.965000,-0.082475, -2.022715
9 , 3.007632, -0.021392, -0.020532,12.000000,0.000000,1.999916,-1.965000,-0.035776, -0.021392
10 , 6.881702, -2.058871, -0.000242,11.000000,0.020791,0.000000,-1.965000,-0.114402, -2.058871
11 , 15.206927, 0.300828, -0.020802,12.000000,0.000242,1.999894,-1.965000,0.286493, 0.300828
12 , 19.079643, -2.284403, 0.000000,0.000000,0.020573,0.000000,-1.965000,-0.339964, -2.284403
1 , 3.008322, 0.081666, -0.020070,4.000000,0.000000,1.999917,-1.965000,0.066819, 0.081666
2 , 6.904807, -2.028960, -0.000248,3.000000,0.020341,0.000000,-1.965000,-0.084026, -2.028960
3 , 15.208004, 0.326824, -0.020670,4.000000,0.000248,1.999953,-1.965000,0.312293, 0.326824
4 , 19.087080, -1.634433, 0.000000,0.000000,0.020411,0.000000,-1.965000,0.310141, -1.634433
5 , 3.007563, -0.042361, -0.026723,8.000000,0.000000,1.999934,-1.965000,-0.050572, -0.042361
6 , 6.623591, -1.982549, -0.000187,7.000000,0.026882,0.000000,-1.965000,-0.044251, -1.982549
7 , 15.207546, -0.024419, -0.030237,8.000000,0.000187,1.999932,-1.965000,-0.029302, -0.024419
8 , 18.706249, -2.079050, 0.000000,0.000000,0.030095,0.000000,-1.965000,-0.144120, -2.079050
9 , 3.007962, 0.189243, -0.025083,12.000000,0.000000,1.999947,-1.965000,0.179380, 0.189243
10 , 6.685626, -2.156248, -0.000199,11.000000,0.025290,0.000000,-1.965000,-0.216330, -2.156248
11 , 15.207732, -0.199288, -0.025334,12.000000,0.000199,1.999911,-1.965000,-0.209064, -0.199288
12 , 18.883332, -1.494540, 0.000000,0.000000,0.025164,0.000000,-1.965000,0.445325, -1.494540
1 , 3.007768, -0.013505, -0.024450,4.000000,0.000000,1.999897,-1.965000,-0.023952, -0.013505
2 , 6.710735, -1.872293, -0.000204,3.000000,0.024682,0.000000,-1.965000,0.068261, -1.872293
3 , 15.208431, -0.168219, -0.025106,4.000000,0.000204,1.999971,-1.965000,-0.178288, -0.168219
