ボルテックス番号, 座標, 合力, VVI作用, 対象VVI, VVI反作用, ピニング力, ローレンツ力, 熱ゆらぎ, 現在速度
11 , 15.208385, -0.251854, -0.014041,12.000000,0.000244,1.999962,-1.965000,-0.273018, -0.251854
12 , 19.474132, -2.143347, 0.000000,0.000000,0.013680,0.000000,-1.965000,-0.192031, -2.143347
1 , 3.007778, 0.043003, -0.022554,4.000000,0.000000,1.999945,-1.965000,0.030612, 0.043003
2 , 6.791136, -2.093929, -0.000221,3.000000,0.022760,0.000000,-1.965000,-0.151454, -2.093929
3 , 15.208314, 0.217464, -0.026180,4.000000,0.000221,1.999968,-1.965000,0.208456, 0.217464
4 , 18.851055, -2.027417, 0.000000,0.000000,0.025998,0.000000,-1.965000,-0.088405, -2.027417
5 , 3.009348, 0.111953, -0.019358,8.000000,0.000000,1.999993,-1.965000,0.096318, 0.111953
6 , 6.944850, -2.168581, -0.000258,7.000000,0.019533,0.000000,-1.965000,-0.222859, -2.168581
7 , 15.207814, -0.230576, -0.028255,8.000000,0.000258,1.999915,-1.965000,-0.237494, -0.230576
8 , 18.774287, -1.985951, 0.000000,0.000000,0.028036,0.000000,-1.965000,-0.049028, -1.985951
9 , 3.008599, -0.093764, -0.024765,12.000000,0.000000,1.999974,-1.965000,-0.103973, -0.093764
10 , 6.695086, -1.864146, -0.000201,11.000000,0.025044,0.000000,-1.965000,0.075994, -1.864146
11 , 15.209140, 0.025988, -0.017084,12.000000,0.000201,1.999986,-1.965000,0.007885, 0.025988
12 , 19.278757, -1.818277, 0.000000,0.000000,0.016774,0.000000,-1.965000,0.129934, -1.818277
1 , 3.007791, -0.130327, -0.027450,4.000000,0.000000,1.999944,-1.965000,-0.137821, -0.130327
2 , 6.597421, -1.570162, -0.000182,3.000000,0.027644,0.000000,-1.965000,0.367412, -1.570162
3 , 15.209099, 0.059419, -0.031810,4.000000,0.000182,1.999988,-1.965000,0.056059, 0.059419
4 , 18.657089, -2.011327, 0.000000,0.000000,0.031651,0.000000,-1.965000,-0.077978, -2.011327
5 , 3.008536, -0.226951, -0.023537,8.000000,0.000000,1.999974,-1.965000,-0.238388, -0.226951
6 , 6.751503, -2.065758, -0.000213,7.000000,0.023691,0.000000,-1.965000,-0.124229, -2.065758
7 , 15.207222, -0.342765, -0.034290,8.000000,0.000213,1.999862,-1.965000,-0.343550, -0.342765
8 , 18.580115, -1.829540, 0.000000,0.000000,0.034073,0.000000,-1.965000,0.101316, -1.829540
9 , 3.007653, 0.370468, -0.030111,12.000000,0.000000,1.999926,-1.965000,0.365653, 0.370468
10 , 6.502492, -1.932113, -0.000166,11.000000,0.030337,0.000000,-1.965000,0.002699, -1.932113
11 , 15.207861, -0.055920, -0.020732,12.000000,0.000166,1.999931,-1.965000,-0.070286, -0.055920
12 , 19.083953, -2.176882, 0.000000,0.000000,0.020460,0.000000,-1.965000,-0.232371, -2.176882
1 , 3.007631, -0.201528, -0.033315,4.000000,0.000000,1.999922,-1.965000,-0.203134, -0.201528
2 , 6.405464, -2.293558, -0.000150,3.000000,0.033501,0.000000,-1.965000,-0.361854, -2.293558
3 , 15.207803, 0.326396, -0.038583,4.000000,0.000150,1.999936,-1.965000,0.329892, 0.326396
4 , 18.462752, -1.743991, 0.000000,0.000000,0.038485,0.000000,-1.965000,0.182557, -1.743991
5 , 3.008264, 0.110530, -0.028556,8.000000,0.000000,1.999966,-1.965000,0.104119, 0.110530
6 , 6.559835, -2.025271, -0.000176,7.000000,0.028716,0.000000,-1.965000,-0.088775, -2.025271
7 , 15.206655, -0.066664, -0.040704,8.000000,0.000176,1.999870,-1.965000,-0.061005, -0.066664
8 , 18.408085, 0.040606, 0.000000,0.000000,0.040550,1.999959,-1.965000,-0.034933, 0.040606
9 , 3.005666, 0.002110, -0.036627,12.000000,0.000000,1.999789,-1.965000,0.003948, 0.002110
10 , 6.307170, -1.948826, -0.000136,11.000000,0.036776,0.000000,-1.965000,-0.020518, -1.948826
11 , 15.208066, 0.024175, -0.025127,12.000000,0.000136,1.999950,-1.965000,0.014214, 0.024175
12 , 18.891893, -1.964810, 0.000000,0.000000,0.024894,0.000000,-1.965000,-0.024736, -1.964810
1 , 3.005525, -0.072824, -0.040299,4.000000,0.000000,1.999773,-1.965000,-0.067298, -0.072824
2 , 6.213887, -1.778365, -0.000124,3.000000,0.040496,0.000000,-1.965000,0.146336, -1.778365
3 , 15.209073, -0.011972, -0.040755,4.000000,0.000124,1.999976,-1.965000,-0.006318, -0.011972
4 , 18.409245, -0.025284, 0.000000,0.000000,0.040692,1.999990,-1.965000,-0.100905, -0.025284
5 , 3.008988, 0.049958, -0.034611,8.000000,0.000000,1.999979,-1.965000,0.049591, 0.049958
6 , 6.369012, -1.849541, -0.000145,7.000000,0.034755,0.000000,-1.965000,0.080870, -1.849541
7 , 15.206226, 0.140865, -0.040655,8.000000,0.000145,1.999825,-1.965000,0.146550, 0.140865
8 , 18.408868, 0.168455, 0.000000,0.000000,0.040496,1.999985,-1.965000,0.092938, 0.168455
9 , 3.005241, 0.100825, -0.040467,12.000000,0.000000,1.999726,-1.965000,0.106566, 0.100825
10 , 6.208396, -0.019900, -0.000124,11.000000,0.040547,1.999962,-1.965000,-0.095372, -0.019900
11 , 15.205410, -0.167433, -0.030293,12.000000,0.000124,1.999766,-1.965000,-0.172030, -0.167433
12 , 18.702252, -1.903158, 0.000000,0.000000,0.030122,0.000000,-1.965000,0.031715, -1.903158
1 , 3.006695, 0.205935, -0.040565,4.000000,0.000000,1.999878,-1.965000,0.211622, 0.205935
2 , 6.208500, 0.195342, -0.000124,3.000000,0.040731,1.999971,-1.965000,0.119806, 0.195342
3 , 15.207080, 0.180432, -0.040717,4.000000,0.000124,1.999877,-1.965000,0.186149, 0.180432
4 , 18.408174, 0.071942, 0.000000,0.000000,0.040686,1.999953,-1.965000,-0.003605, 0.071942
5 , 3.007262, -0.327329, -0.040592,8.000000,0.000000,1.999903,-1.965000,-0.321640, -0.327329
6 , 6.208405, 0.093973, -0.000124,7.000000,0.040729,1.999968,-1.965000,0.018413, 0.093973
7 , 15.205230, -0.397449, -0.040650,8.000000,0.000124,1.999711,-1.965000,-0.391633, -0.397449
8 , 18.407972, -0.174521, 0.000000,0.000000,0.040463,1.999952,-1.965000,-0.250000, -0.174521
9 , 3.003160, -0.035781, -0.040475,12.000000,0.000000,1.999465,-1.965000,-0.029771, -0.035781
10 , 6.206832, -0.040357, -0.000124,11.000000,0.040516,1.999874,-1.965000,-0.115719, -0.040357
11 , 15.204008, 0.065214, -0.036709,12.000000,0.000124,1.999599,-1.965000,0.067201, 0.065214
12 , 18.508745, -1.976789, 0.000000,0.000000,0.036544,0.000000,-1.965000,-0.048360, -1.976789
1 , 3.005101, 0.275601, -0.040501,4.000000,0.000000,1.999730,-1.965000,0.281371, 0.275601
2 , 6.208485, 0.120331, -0.000124,3.000000,0.040638,1.999973,-1.965000,0.044857, 0.120331
3 , 15.202677, -0.067806, -0.040470,4.000000,0.000124,1.999404,-1.965000,-0.061864, -0.067806
4 , 18.409866, 0.022119, 0.000000,0.000000,0.040405,1.999990,-1.965000,-0.053216, 0.022119
5 , 3.006861, -0.026990, -0.040521,8.000000,0.000000,1.999888,-1.965000,-0.021357, -0.026990
6 , 6.209752, 0.339990, -0.000124,7.000000,0.040655,1.999998,-1.965000,0.264471, 0.339990
7 , 15.204046, 0.219715, -0.040541,8.000000,0.000124,1.999576,-1.965000,0.225557, 0.219715
8 , 18.409490, 0.206773, 0.000000,0.000000,0.040373,1.999997,-1.965000,0.131359, 0.206773
9 , 3.002414, 0.125500, -0.040377,12.000000,0.000000,1.999358,-1.965000,0.131519, 0.125500
10 , 6.208824, 0.108418, -0.000124,11.000000,0.040409,1.999965,-1.965000,0.033076, 0.108418
11 , 15.203775, 0.051926, -0.040559,12.000000,0.000124,1.999569,-1.965000,0.057792, 0.051926
12 , 18.408765, -0.006455, 0.000000,0.000000,0.040397,1.999978,-1.965000,-0.081869, -0.006455
1 , 3.001708, -0.029688, -0.040329,4.000000,0.000000,1.999232,-1.965000,-0.023591, -0.029688
2 , 6.209307, -0.109094, -0.000125,3.000000,0.040515,1.999988,-1.965000,-0.184411, -0.109094
3 , 15.200004, -0.111174, -0.040411,4.000000,0.000124,1.998886,-1.965000,-0.104774, -0.111174
4 , 18.408650, 0.149152, 0.000000,0.000000,0.040347,1.999973,-1.965000,0.073892, 0.149152
5 , 3.006670, 0.054511, -0.040576,8.000000,0.000000,1.999876,-1.965000,0.060212, 0.054511
6 , 6.208200, -0.169206, -0.000124,7.000000,0.040735,1.999961,-1.965000,-0.244743, -0.169206
7 , 15.203812, -0.027454, -0.040588,8.000000,0.000124,1.999532,-1.965000,-0.021522, -0.027454
8 , 18.408088, -0.014602, 0.000000,0.000000,0.040439,1.999959,-1.965000,-0.090025, -0.014602
9 , 3.001422, 0.072005, -0.040312,12.000000,0.000000,1.999182,-1.965000,0.078135, 0.072005
10 , 6.209438, 0.121734, -0.000124,11.000000,0.040343,1.999976,-1.965000,0.046446, 0.121734
11 , 15.202884, 0.239121, -0.040493,12.000000,0.000124,1.999409,-1.965000,0.245081, 0.239121
12 , 18.409501, 0.107547, 0.000000,0.000000,0.040287,1.999991,-1.965000,0.032187, 0.107547
1 , 2.998072, -0.017287, -0.040195,4.000000,0.000000,1.998401,-1.965000,-0.010494, -0.017287
2 , 6.208984, 0.020965, -0.000124,3.000000,0.040400,1.999981,-1.965000,-0.054211, 0.020965
3 , 15.201672, -0.171519, -0.040428,4.000000,0.000124,1.999226,-1.965000,-0.165442, -0.171519
4 , 18.409910, 0.036227, 0.000000,0.000000,0.040356,1.999988,-1.965000,-0.039063, 0.036227
5 , 3.004430, -0.071745, -0.040425,8.000000,0.000000,1.999655,-1.965000,-0.065975, -0.071745
6 , 6.209683, 0.222635, -0.000124,7.000000,0.040583,1.999996,-1.965000,0.147214, 0.222635
7 , 15.203833, -0.352005, -0.040525,8.000000,0.000124,1.999541,-1.965000,-0.346145, -0.352005
8 , 18.409667, 0.294175, 0.000000,0.000000,0.040383,1.999998,-1.965000,0.218777, 0.294175
9 , 3.000348, 0.076240, -0.040360,12.000000,0.000000,1.998961,-1.965000,0.082640, 0.076240
10 , 6.207157, -0.254606, -0.000124,11.000000,0.040377,1.999884,-1.965000,-0.329851, -0.254606
11 , 15.205619, 0.062000, -0.040589,12.000000,0.000124,1.999772,-1.965000,0.067693, 0.062000
12 , 18.409869, 0.152852, 0.000000,0.000000,0.040399,1.999995,-1.965000,0.077392, 0.152852
1 , 2.996096, -0.025424, -0.040135,4.000000,0.000000,1.997852,-1.965000,-0.018140, -0.025424
2 , 6.208489, 0.104385, -0.000124,3.000000,0.040304,1.999971,-1.965000,0.029278, 0.104385
3 , 15.200365, 0.175722, -0.040446,4.000000,0.000124,1.998965,-1.965000,0.182079, 0.175722
4 , 18.408147, 0.086390, 0.000000,0.000000,0.040351,1.999957,-1.965000,0.011112, 0.086390
5 , 3.005126, -0.333971, -0.040509,8.000000,0.000000,1.999723,-1.965000,-0.328185, -0.333971
6 , 6.208290, 0.273850, -0.000124,7.000000,0.040695,1.999963,-1.965000,0.198377, 0.273850
7 , 15.203949, -0.137379, -0.040528,8.000000,0.000124,1.999588,-1.965000,-0.131563, -0.137379
8 , 18.409700, 0.076042, 0.000000,0.000000,0.040436,1.999993,-1.965000,0.000645, 0.076042
9 , 2.999618, -0.055557, -0.040249,12.000000,0.000000,1.998799,-1.965000,-0.049108, -0.055557
10 , 6.209196, 0.066241, -0.000124,11.000000,0.040272,1.999970,-1.965000,-0.008978, 0.066241
11 , 15.205446, 0.051226, -0.040651,12.000000,0.000124,1.999762,-1.965000,0.056991, 0.051226
12 , 18.408172, -0.017949, 0.000000,0.000000,0.040489,1.999962,-1.965000,-0.093438, -0.017949
1 , 2.994123, -0.029745, -0.040042,4.000000,0.000000,1.997197,-1.965000,-0.021900, -0.029745
2 , 6.208831, 0.262200, -0.000125,3.000000,0.040197,1.999984,-1.965000,0.187174, 0.262200
3 , 15.199171, -0.002244, -0.040358,4.000000,0.000125,1.998686,-1.965000,0.004304, -0.002244
4 , 18.409126, 0.135461, 0.000000,0.000000,0.040307,1.999983,-1.965000,0.060244, 0.135461
5 , 3.005777, 0.075809, -0.040493,8.000000,0.000000,1.999761,-1.965000,0.081541, 0.075809
6 , 6.209346, 0.190318, -0.000124,7.000000,0.040689,1.999992,-1.965000,0.114833, 0.190318
7 , 15.202777, -0.029695, -0.040494,8.000000,0.000124,1.999420,-1.965000,-0.023746, -0.029695
8 , 18.409380, -0.163362, 0.000000,0.000000,0.040409,1.999991,-1.965000,-0.238723, -0.163362
9 , 2.999171, 0.147511, -0.040217,12.000000,0.000000,1.998694,-1.965000,0.154034, 0.147511
10 , 6.209530, -0.056391, -0.000124,11.000000,0.040271,1.999979,-1.965000,-0.131587, -0.056391
11 , 15.204592, 0.021586, -0.040581,12.000000,0.000124,1.999673,-1.965000,0.027371, 0.021586
12 , 18.409039, 0.186367, 0.000000,0.000000,0.040437,1.999989,-1.965000,0.110920, 0.186367
1 , 2.994357, 0.330204, -0.040027,4.000000,0.000000,1.997283,-1.965000,0.337948, 0.330204
2 , 6.209441, -0.069346, -0.000125,3.000000,0.040184,1.999994,-1.965000,-0.144367, -0.069346
3 , 15.198540, 0.308104, -0.040376,4.000000,0.000125,1.998470,-1.965000,0.314884, 0.308104
4 , 18.408053, -0.030433, 0.000000,0.000000,0.040351,1.999951,-1.965000,-0.105635, -0.030433
5 , 3.004514, -0.124975, -0.040432,8.000000,0.000000,1.999657,-1.965000,-0.119201, -0.124975
6 , 6.209591, 0.022364, -0.000124,7.000000,0.040627,1.999990,-1.965000,-0.053057, 0.022364
7 , 15.203265, 0.074481, -0.040610,8.000000,0.000124,1.999495,-1.965000,0.080473, 0.074481
8 , 18.406994, 0.057279, 0.000000,0.000000,0.040535,1.999891,-1.965000,-0.018098, 0.057279
9 , 2.998930, 0.222048, -0.040194,12.000000,0.000000,1.998609,-1.965000,0.228633, 0.222048
10 , 6.209875, 0.170705, -0.000124,11.000000,0.040277,1.999984,-1.965000,0.095527, 0.170705
11 , 15.203292, -0.008089, -0.040526,12.000000,0.000124,1.999482,-1.965000,-0.002169, -0.008089
12 , 18.409098, 0.183587, 0.000000,0.000000,0.040365,1.999991,-1.965000,0.108194, 0.183587
1 , 2.993717, -0.047143, -0.040021,4.000000,0.000000,1.997055,-1.965000,-0.039177, -0.047143
2 , 6.208936, 0.215826, -0.000125,3.000000,0.040189,1.999984,-1.965000,0.140821, 0.215826
3 , 15.197317, -0.054319, -0.040287,4.000000,0.000125,1.998147,-1.965000,-0.047304, -0.054319
4 , 18.409023, -0.073018, 0.000000,0.000000,0.040262,1.999982,-1.965000,-0.148163, -0.073018
5 , 3.003722, -0.130067, -0.040446,8.000000,0.000000,1.999553,-1.965000,-0.124174, -0.130067
6 , 6.208449, -0.076043, -0.000124,7.000000,0.040644,1.999965,-1.965000,-0.151453, -0.076043
7 , 15.201354, 0.023873, -0.040479,8.000000,0.000124,1.999163,-1.965000,0.030065, 0.023873
8 , 18.408314, 0.132330, 0.000000,0.000000,0.040398,1.999959,-1.965000,0.057016, 0.132330
