ボルテックス番号, 座標, 合力, VVI作用, 対象VVI, VVI反作用, ピニング力, ローレンツ力, 熱ゆらぎ, 現在速度
1 , 3.539698, 2.005306, -0.016501,4.000000,0.000000,0.000000,1.965000,0.056807, 2.005306
2 , 7.628367, 1.920913, -0.000325,3.000000,0.016762,0.000000,1.965000,-0.060524, 1.920913
3 , 15.660831, 1.788332, -0.017857,4.000000,0.000325,0.000000,1.965000,-0.159136, 1.788332
4 , 19.686204, 2.255568, 0.000000,0.000000,0.017596,0.000000,1.965000,0.272972, 2.255568
5 , 3.418509, 1.668687, -0.014893,8.000000,0.000000,0.000000,1.965000,-0.281420, 1.668687
6 , 7.604791, 2.150255, -0.000310,7.000000,0.015203,0.000000,1.965000,0.170362, 2.150255
7 , 15.684872, 1.913623, -0.017340,8.000000,0.000310,0.000000,1.965000,-0.034347, 1.913623
8 , 19.739627, 1.883851, 0.000000,0.000000,0.017030,0.000000,1.965000,-0.098179, 1.883851
9 , 3.571407, 1.885889, -0.017731,12.000000,0.000000,0.000000,1.965000,-0.061380, 1.885889
10 , 7.587258, 2.034535, -0.000322,11.000000,0.018028,0.000000,1.965000,0.051829, 2.034535
11 , 15.628573, 1.685404, -0.014697,12.000000,0.000322,0.000000,1.965000,-0.265221, 1.685404
12 , 19.848692, 2.129077, 0.000000,0.000000,0.014400,0.000000,1.965000,0.149677, 2.129077
1 , 3.345635, -1.921018, -0.016490,4.000000,0.000000,0.000000,-1.965000,0.060471, -1.921018
2 , 7.434924, -1.946911, -0.000326,3.000000,0.016755,0.000000,-1.965000,0.001663, -1.946911
3 , 15.463863, -1.830161, -0.017731,4.000000,0.000326,0.000000,-1.965000,0.152244, -1.830161
4 , 19.496294, -2.077093, 0.000000,0.000000,0.017465,0.000000,-1.965000,-0.129562, -2.077093
5 , 3.223204, -2.008469, -0.014867,8.000000,0.000000,0.000000,-1.965000,-0.028602, -2.008469
6 , 7.411160, -1.609340, -0.000310,7.000000,0.015182,0.000000,-1.965000,0.340793, -1.609340
7 , 15.488691, -2.029785, -0.017299,8.000000,0.000311,0.000000,-1.965000,-0.047796, -2.029785
8 , 19.545809, -1.990491, 0.000000,0.000000,0.016976,0.000000,-1.965000,-0.042479, -1.990491
9 , 3.375489, -1.958135, -0.017680,12.000000,0.000000,0.000000,-1.965000,0.024545, -1.958135
10 , 7.394138, -1.963114, -0.000322,11.000000,0.017971,0.000000,-1.965000,-0.015769, -1.963114
11 , 15.433604, -1.971210, -0.014684,12.000000,0.000323,0.000000,-1.965000,0.008152, -1.971210
12 , 19.654572, -1.888961, 0.000000,0.000000,0.014383,0.000000,-1.965000,0.061651, -1.888961
1 , 3.148161, -1.997553, -0.016452,4.000000,0.000000,0.000000,-1.965000,-0.016101, -1.997553
2 , 7.239600, -2.105683, -0.000325,3.000000,0.016710,0.000000,-1.965000,-0.157073, -2.105683
3 , 15.270003, -1.935150, -0.017707,4.000000,0.000326,0.000000,-1.965000,0.047232, -1.935150
4 , 19.303798, -1.994049, 0.000000,0.000000,0.017438,0.000000,-1.965000,-0.046493, -1.994049
5 , 3.026072, -1.722418, -0.014817,8.000000,0.000000,0.000000,-1.965000,0.257399, -1.722418
6 , 7.217248, -1.668753, -0.000312,7.000000,0.015129,0.000000,-1.965000,0.281430, -1.668753
7 , 15.290773, -1.736380, -0.017219,8.000000,0.000312,0.000000,-1.965000,0.245528, -1.736380
8 , 19.352495, -1.853923, 0.000000,0.000000,0.016882,0.000000,-1.965000,0.094169, -1.853923
9 , 3.176903, -2.172963, -0.017605,12.000000,0.000000,0.000000,-1.965000,-0.190358, -2.172963
10 , 7.199694, -1.742487, -0.000323,11.000000,0.017891,0.000000,-1.965000,0.204933, -1.742487
11 , 15.237473, -1.865981, -0.014667,12.000000,0.000323,0.000000,-1.965000,0.113363, -1.865981
12 , 19.459615, -2.342189, 0.000000,0.000000,0.014370,0.000000,-1.965000,-0.391558, -2.342189
1 , 3.008833, 0.318709, -0.017415,4.000000,0.000000,1.999976,-1.965000,0.301148, 0.318709
2 , 7.045069, -1.946323, -0.000285,3.000000,0.017657,0.000000,-1.965000,0.001298, -1.946323
3 , 15.207877, 0.095305, -0.020219,4.000000,0.000285,1.999926,-1.965000,0.080313, 0.095305
4 , 19.109003, -1.858414, 0.000000,0.000000,0.019968,0.000000,-1.965000,0.086616, -1.858414
5 , 3.009337, -0.344709, -0.017809,8.000000,0.000000,1.999980,-1.965000,-0.361880, -0.344709
6 , 7.022884, -1.992519, -0.000279,7.000000,0.018083,0.000000,-1.965000,-0.045309, -1.992519
7 , 15.207345, -0.115718, -0.019272,8.000000,0.000279,1.999872,-1.965000,-0.131597, -0.115718
8 , 19.156432, -1.971308, 0.000000,0.000000,0.018990,0.000000,-1.965000,-0.025320, -1.971308
9 , 3.009155, 0.035747, -0.018104,12.000000,0.000000,1.999943,-1.965000,0.018908, 0.035747
10 , 7.004940, -1.794468, -0.000274,11.000000,0.018383,0.000000,-1.965000,0.152412, -1.794468
11 , 15.208764, 0.289158, -0.017391,12.000000,0.000274,1.999908,-1.965000,0.271368, 0.289158
12 , 19.260586, -2.144449, 0.000000,0.000000,0.017100,0.000000,-1.965000,-0.196550, -2.144449
1 , 3.007411, 0.039326, -0.021224,4.000000,0.000000,1.999913,-1.965000,0.025637, 0.039326
2 , 6.850432, -2.394776, -0.000235,3.000000,0.021424,0.000000,-1.965000,-0.450970, -2.394776
3 , 15.207252, 0.037154, -0.024545,4.000000,0.000235,1.999892,-1.965000,0.026572, 0.037154
4 , 18.914517, -2.006255, 0.000000,0.000000,0.024325,0.000000,-1.965000,-0.065594, -2.006255
5 , 3.008572, -0.035809, -0.021733,8.000000,0.000000,1.999977,-1.965000,-0.049053, -0.035809
6 , 6.827655, -1.823863, -0.000229,7.000000,0.021955,0.000000,-1.965000,0.119419, -1.823863
7 , 15.207349, 0.044911, -0.023326,8.000000,0.000230,1.999893,-1.965000,0.033114, 0.044911
8 , 18.965552, -1.493019, 0.000000,0.000000,0.023097,0.000000,-1.965000,0.448871, -1.493019
9 , 3.009388, 0.038663, -0.022167,12.000000,0.000000,1.999937,-1.965000,0.025892, 0.038663
